metabolite_accession	MetaboliteName	chemical_formula	protein_accession	ProteinName	UniProt	protein_type	GeneName
HMDB0002111	Water	H2O	HMDBP08481	Mitofusin-1	Q8IWA4	Unknown	Mfn1
HMDB0002111	Water	H2O	HMDBP08482	Mitofusin-2	O95140	Unknown	Mfn2
HMDB0002111	Water	H2O	HMDBP08495	Obg-like ATPase 1	Q9NTK5	Unknown	Ola1
HMDB0002111	Water	H2O	HMDBP08635	Cytochrome P450 20A1	Q6UW02	Unknown	Cyp20a1
HMDB0002111	Water	H2O	HMDBP08638	Cytochrome P450 2U1	Q7Z449	Unknown	Cyp2u1
HMDB0002111	Water	H2O	HMDBP08640	Cytochrome P450 4F22	Q6NT55	Unknown	Cyp4f39
HMDB0002111	Water	H2O	HMDBP08674	Probable imidazolonepropionase	Q96NU7	Unknown	Amdhd1
HMDB0002111	Water	H2O	HMDBP08684	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit	P62136	Unknown	Ppp1ca
HMDB0002111	Water	H2O	HMDBP08685	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform	P62714	Unknown	Ppp2cb
HMDB0002111	Water	H2O	HMDBP08686	Serine/threonine-protein phosphatase 4 catalytic subunit	P60510	Unknown	Ppp4c
HMDB0002111	Water	H2O	HMDBP08687	Serine/threonine-protein phosphatase 5	P53041	Unknown	Ppp5c
HMDB0002111	Water	H2O	HMDBP08688	Serine/threonine-protein phosphatase 6 catalytic subunit	O00743	Unknown	Ppp6c
HMDB0002111	Water	H2O	HMDBP08705	Bloom syndrome protein	P54132	Unknown	Blm
HMDB0002111	Water	H2O	HMDBP08710	m7GpppN-mRNA hydrolase	Q8IU60	Unknown	Dcp2
HMDB0002111	Water	H2O	HMDBP08716	Enolase-phosphatase E1	Q9UHY7	Unknown	Enoph1
HMDB0002111	Water	H2O	HMDBP08717	TFIIH basal transcription factor complex helicase XPD subunit	P18074	Unknown	Ercc2
HMDB0002111	Water	H2O	HMDBP08720	Eyes absent homolog 1	Q99502	Unknown	Eya1
HMDB0002111	Water	H2O	HMDBP08721	Eyes absent homolog 2	O00167	Unknown	Eya2
HMDB0002111	Water	H2O	HMDBP08722	Eyes absent homolog 3	Q99504	Unknown	Eya3
HMDB0002111	Water	H2O	HMDBP08723	Eyes absent homolog 4	O95677	Unknown	Eya4
HMDB0002111	Water	H2O	HMDBP08724	Fidgetin-like protein 1	Q6PIW4	Unknown	Fignl1
HMDB0002111	Water	H2O	HMDBP08726	Ras GTPase-activating protein-binding protein 1	Q13283	Unknown	G3bp1
HMDB0002111	Water	H2O	HMDBP08730	DNA helicase B	Q8NG08	Unknown	Helb
HMDB0002111	Water	H2O	HMDBP08731	Integrin-linked kinase-associated serine/threonine phosphatase 2C	Q9H0C8	Unknown	Ilkap
HMDB0002111	Water	H2O	HMDBP08771	Sphingomyelin phosphodiesterase 4	Q9NXE4	Unknown	Smpd4
HMDB0002111	Water	H2O	HMDBP08776	Diphosphoinositol polyphosphate phosphohydrolase 3-beta	Q96G61	Unknown	Nudt11
HMDB0002111	Water	H2O	HMDBP08777	Probable 8-oxo-dGTP diphosphatase NUDT15	Q9NV35	Unknown	Nudt15
HMDB0002111	Water	H2O	HMDBP08779	8-oxo-dGDP phosphatase NUDT18	Q6ZVK8	Unknown	Nudt18
HMDB0002111	Water	H2O	HMDBP08781	Diphosphoinositol polyphosphate phosphohydrolase 1	O95989	Unknown	Nudt3
HMDB0002111	Water	H2O	HMDBP08782	Diphosphoinositol polyphosphate phosphohydrolase 2	Q9NZJ9	Unknown	Nudt4
HMDB0002111	Water	H2O	HMDBP08786	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial	Q9P0J1	Unknown	Pdp1
HMDB0002111	Water	H2O	HMDBP08790	Pyridoxal phosphate phosphatase PHOSPHO2	Q8TCD6	Unknown	Phospho2
HMDB0002111	Water	H2O	HMDBP08792	Protein phosphatase 1A	P35813	Unknown	Ppm1a
HMDB0002111	Water	H2O	HMDBP08793	Protein phosphatase 1B	O75688	Unknown	Ppm1b
HMDB0002111	Water	H2O	HMDBP08794	Protein phosphatase 1D	O15297	Unknown	Ppm1d
HMDB0002111	Water	H2O	HMDBP08795	Protein phosphatase 1E	Q8WY54	Unknown	Ppm1e
HMDB0002111	Water	H2O	HMDBP08796	Protein phosphatase 1F	P49593	Unknown	Ppm1f
HMDB0002111	Water	H2O	HMDBP08797	Protein phosphatase 1G	O15355	Unknown	Ppm1g
HMDB0002111	Water	H2O	HMDBP08798	Protein phosphatase 1K, mitochondrial	Q8N3J5	Unknown	Ppm1k
HMDB0002111	Water	H2O	HMDBP08799	Protein phosphatase 1L	Q5SGD2	Unknown	Ppm1l
HMDB0002111	Water	H2O	HMDBP08800	Protein phosphatase 1M	Q96MI6	Unknown	Ppm1m
HMDB0002111	Water	H2O	HMDBP08801	Protein phosphatase PTC7 homolog	Q8NI37	Unknown	Pptc7
HMDB0002111	Water	H2O	HMDBP08805	ATP-dependent DNA helicase Q1	P46063	Unknown	Recql
HMDB0002111	Water	H2O	HMDBP08820	ATP-dependent RNA helicase SUPV3L1, mitochondrial	Q8IYB8	Unknown	Supv3l1
HMDB0002111	Water	H2O	HMDBP08832	Ubiquitin-like domain-containing CTD phosphatase 1	Q8WVY7	Unknown	Ublcp1
HMDB0002111	Water	H2O	HMDBP08834	Werner syndrome ATP-dependent helicase	Q14191	Unknown	Wrn
HMDB0002111	Water	H2O	HMDBP08839	Dual specificity protein phosphatase 18	Q8NEJ0	Unknown	Dusp18
HMDB0002111	Water	H2O	HMDBP08849	PH domain leucine-rich repeat-containing protein phosphatase 2	Q6ZVD8	Unknown	Phlpp2
HMDB0002111	Water	H2O	HMDBP08850	PH domain leucine-rich repeat-containing protein phosphatase 1	O60346	Unknown	Phlpp1
HMDB0002111	Water	H2O	HMDBP08860	Putative L-aspartate dehydrogenase	A6ND91	Unknown	Aspdh
HMDB0002111	Water	H2O	HMDBP08885	tRNA 2'-phosphotransferase 1	Q86TN4	Unknown	Trpt1
HMDB0002111	Water	H2O	HMDBP08897	Putative tyrosine-protein phosphatase auxilin	O75061	Enzyme	Dnajc6
HMDB0002111	Water	H2O	HMDBP08898	Dual specificity protein phosphatase CDC14A	Q9UNH5	Enzyme	Cdc14a
HMDB0002111	Water	H2O	HMDBP08899	Dual specificity protein phosphatase CDC14B	O60729	Enzyme	Cdc14b
HMDB0002111	Water	H2O	HMDBP08900	Cyclin-dependent kinase inhibitor 3	Q16667	Enzyme	Cdkn3
HMDB0002111	Water	H2O	HMDBP08901	RNA polymerase II subunit A C-terminal domain phosphatase	Q9Y5B0	Enzyme	Ctdp1
HMDB0002111	Water	H2O	HMDBP08902	CTD nuclear envelope phosphatase 1	O95476	Enzyme	Ctdnep1
HMDB0002111	Water	H2O	HMDBP08903	Dual specificity protein phosphatase 10	Q9Y6W6	Enzyme	Dusp10
HMDB0002111	Water	H2O	HMDBP08904	Dual specificity protein phosphatase 12	Q9UNI6	Unknown	Dusp12
HMDB0002111	Water	H2O	HMDBP08906	Dual specificity protein phosphatase 16	Q9BY84	Enzyme	Dusp16
HMDB0002111	Water	H2O	HMDBP08907	Dual specificity protein phosphatase 19	Q8WTR2	Enzyme	Dusp19
HMDB0002111	Water	H2O	HMDBP08911	Dual specificity protein phosphatase 4	Q13115	Enzyme	Dusp4
HMDB0002111	Water	H2O	HMDBP08912	Dual specificity protein phosphatase 5	Q16690	Enzyme	Dusp5
HMDB0002111	Water	H2O	HMDBP08913	Dual specificity protein phosphatase 6	Q16828	Enzyme	Dusp6
HMDB0002111	Water	H2O	HMDBP08914	Dual specificity protein phosphatase 7	Q16829	Enzyme	Dusp7
HMDB0002111	Water	H2O	HMDBP08915	Dual specificity protein phosphatase 8	Q13202	Enzyme	Dusp8
HMDB0002111	Water	H2O	HMDBP08916	Dual specificity protein phosphatase 9	Q99956	Enzyme	Dusp9
HMDB0002111	Water	H2O	HMDBP08919	M-phase inducer phosphatase 1	P30304	Enzyme	Cdc25a
HMDB0002111	Water	H2O	HMDBP08920	M-phase inducer phosphatase 2	P30305	Enzyme	Cdc25b
HMDB0002111	Water	H2O	HMDBP08921	M-phase inducer phosphatase 3	P30307	Enzyme	Cdc25c
HMDB0002111	Water	H2O	HMDBP08922	Myotubularin-related protein 4	Q9NYA4	Unknown	Mtmr4
HMDB0002111	Water	H2O	HMDBP08924	Protein phosphatase 1H	Q9ULR3	Enzyme	Ppm1h
HMDB0002111	Water	H2O	HMDBP08925	Protein phosphatase 1J	Q5JR12	Enzyme	Ppm1j
HMDB0002111	Water	H2O	HMDBP08926	Tyrosine-protein phosphatase non-receptor type 11	Q06124	Enzyme	Ptpn11
HMDB0002111	Water	H2O	HMDBP08927	Tyrosine-protein phosphatase non-receptor type 12	Q05209	Enzyme	Ptpn12
HMDB0002111	Water	H2O	HMDBP08928	Tyrosine-protein phosphatase non-receptor type 13	Q12923	Enzyme	Ptpn13
HMDB0002111	Water	H2O	HMDBP08929	Tyrosine-protein phosphatase non-receptor type 14	Q15678	Enzyme	Ptpn14
HMDB0002111	Water	H2O	HMDBP08930	Tyrosine-protein phosphatase non-receptor type 18	Q99952	Enzyme	Ptpn18
HMDB0002111	Water	H2O	HMDBP08931	Tyrosine-protein phosphatase non-receptor type 1	P18031	Enzyme	Ptpn1
HMDB0002111	Water	H2O	HMDBP08932	Tyrosine-protein phosphatase non-receptor type 21	Q16825	Enzyme	Ptpn21
HMDB0002111	Water	H2O	HMDBP08933	Tyrosine-protein phosphatase non-receptor type 22	Q9Y2R2	Enzyme	Ptpn22
HMDB0002111	Water	H2O	HMDBP08934	Tyrosine-protein phosphatase non-receptor type 2	P17706	Enzyme	Ptpn2
HMDB0002111	Water	H2O	HMDBP08935	Tyrosine-protein phosphatase non-receptor type 3	P26045	Enzyme	Ptpn3
HMDB0002111	Water	H2O	HMDBP08936	Tyrosine-protein phosphatase non-receptor type 4	P29074	Enzyme	Ptpn4
HMDB0002111	Water	H2O	HMDBP08937	Tyrosine-protein phosphatase non-receptor type 5	P54829	Enzyme	Ptpn5
HMDB0002111	Water	H2O	HMDBP08938	Tyrosine-protein phosphatase non-receptor type 9	P43378	Enzyme	Ptpn9
HMDB0002111	Water	H2O	HMDBP08939	Receptor-type tyrosine-protein phosphatase N2	Q92932	Enzyme	Ptprn2
HMDB0002111	Water	H2O	HMDBP08940	Receptor-type tyrosine-protein phosphatase beta	P23467	Enzyme	Ptprb
HMDB0002111	Water	H2O	HMDBP08941	Receptor-type tyrosine-protein phosphatase delta	P23468	Enzyme	Ptprd
HMDB0002111	Water	H2O	HMDBP08942	Receptor-type tyrosine-protein phosphatase epsilon	P23469	Enzyme	Ptpre
HMDB0002111	Water	H2O	HMDBP08943	Receptor-type tyrosine-protein phosphatase F	P10586	Enzyme	Ptprf
HMDB0002111	Water	H2O	HMDBP08944	Receptor-type tyrosine-protein phosphatase gamma	P23470	Enzyme	Ptprg
HMDB0002111	Water	H2O	HMDBP08945	Receptor-type tyrosine-protein phosphatase eta	Q12913	Enzyme	Ptprj
HMDB0002111	Water	H2O	HMDBP08946	Receptor-type tyrosine-protein phosphatase kappa	Q15262	Enzyme	Ptprk
HMDB0002111	Water	H2O	HMDBP08947	Receptor-type tyrosine-protein phosphatase mu	P28827	Enzyme	Ptprm
HMDB0002111	Water	H2O	HMDBP08948	Receptor-type tyrosine-protein phosphatase O	Q16827	Enzyme	Ptpro
HMDB0002111	Water	H2O	HMDBP08949	Receptor-type tyrosine-protein phosphatase R	Q15256	Enzyme	Ptprr
HMDB0002111	Water	H2O	HMDBP08950	Receptor-type tyrosine-protein phosphatase S	Q13332	Enzyme	Ptprs
HMDB0002111	Water	H2O	HMDBP08951	Receptor-type tyrosine-protein phosphatase T	O14522	Enzyme	Ptprt
HMDB0002111	Water	H2O	HMDBP08952	Receptor-type tyrosine-protein phosphatase U	Q92729	Enzyme	Ptpru
HMDB0002111	Water	H2O	HMDBP08953	Receptor-type tyrosine-protein phosphatase zeta	P23471	Enzyme	Ptprz1
HMDB0002111	Water	H2O	HMDBP08956	Protein phosphatase Slingshot homolog 1	Q8WYL5	Enzyme	Ssh1
HMDB0002111	Water	H2O	HMDBP08957	Protein phosphatase Slingshot homolog 2	Q76I76	Enzyme	Ssh2
HMDB0002111	Water	H2O	HMDBP08958	Protein tyrosine phosphatase type IVA 1	Q93096	Unknown	AABR07041247.1
HMDB0002111	Water	H2O	HMDBP08959	Protein tyrosine phosphatase type IVA 2	Q12974	Unknown	Ptp4a2
HMDB0002111	Water	H2O	HMDBP08960	Putative tyrosine-protein phosphatase TPTE	P56180	Enzyme	Tpte2
HMDB0002111	Water	H2O	HMDBP08969	Molybdenum cofactor sulfurase	Q96EN8	Enzyme	Mocos
HMDB0002111	Water	H2O	HMDBP08973	O-phosphoseryl-tRNA(Sec) selenium transferase	Q9HD40	Enzyme	Sepsecs
HMDB0002111	Water	H2O	HMDBP09120	Cytosolic phospholipase A2 beta	P0C869	Unknown	Pla2g4b
HMDB0002111	Water	H2O	HMDBP09152	Probable allantoicase	Q8N6M5	Enzyme	Dcdc2c
HMDB0002111	Water	H2O	HMDBP09154	Serine/threonine-protein phosphatase PGAM5, mitochondrial	Q96HS1	Enzyme	Pgam5
HMDB0002111	Water	H2O	HMDBP09163	Alkaline ceramidase 2	Q5QJU3	Enzyme	Acer2
HMDB0002111	Water	H2O	HMDBP09165	Neutral ceramidase	Q9NR71	Enzyme	Asah2
HMDB0002111	Water	H2O	HMDBP09169	Non-lysosomal glucosylceramidase	Q9HCG7	Enzyme	Gba2
HMDB0002111	Water	H2O	HMDBP09193	Deoxyhypusine hydroxylase	Q9BU89	Enzyme	Dohh
HMDB0002111	Water	H2O	HMDBP09242	Cytochrome P450, family 21, subfamily A, polypeptide 2	Q08AG9	Enzyme	Cyp21a1
HMDB0002111	Water	H2O	HMDBP09334	Glucosamine-6-phosphate isomerase 2	Q8TDQ7	Enzyme	Gnpda2
HMDB0002111	Water	H2O	HMDBP09335	Cytochrome P450 2D6	Q6NWU0	Enzyme	Cyp2d5
HMDB0002111	Water	H2O	HMDBP09342	GGT7 protein	A0PJJ9	Enzyme	Ggt7
HMDB0002111	Water	H2O	HMDBP09343	Gamma-glutamyltransferase 5	P36269	Enzyme	Ggt5
HMDB0002111	Water	H2O	HMDBP09366	Peptidoglycan recognition protein 3	Q96LB9	Enzyme	Pglyrp3
HMDB0002111	Water	H2O	HMDBP09367	Peptidoglycan recognition protein 4	Q96LB8	Enzyme	Pglyrp4
HMDB0002111	Water	H2O	HMDBP09372	Hyaluronidase-1	Q12794	Enzyme	Hyal1
HMDB0002111	Water	H2O	HMDBP09373	Hyaluronidase PH-20	P38567	Enzyme	Hyal5
HMDB0002111	Water	H2O	HMDBP09374	Hyaluronidase-2	Q12891	Enzyme	Hyal2
HMDB0002111	Water	H2O	HMDBP09379	NEU1 protein	Q5JQI0	Enzyme	Neu1
HMDB0002111	Water	H2O	HMDBP09423	Dual specificity protein phosphatase 14	O95147	Enzyme	Dusp14l1
HMDB0002111	Water	H2O	HMDBP09424	Dual specificity protein phosphatase 15	Q9H1R2	Enzyme	Dusp15
HMDB0002111	Water	H2O	HMDBP09430	Dual specificity protein phosphatase 21	Q9H596	Enzyme	Dusp21
HMDB0002111	Water	H2O	HMDBP09531	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3 (T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3, isoform CRA_c)	Q13488	Enzyme	Tcirg1
HMDB0002111	Water	H2O	HMDBP09532	V-type proton ATPase subunit e 2	Q8NHE4	Enzyme	Atp6v0e2
HMDB0002111	Water	H2O	HMDBP09534	Putative uncharacterized protein ATP6V1E1	P36543	Enzyme	Atp6v1e1
HMDB0002111	Water	H2O	HMDBP09536	ATPase, H+ transporting, lysosomal accessory protein 1 (ATPase, H+ transporting, lysosomal accessory protein 1, isoform CRA_d) (cDNA FLJ78461, highly similar to Homo sapiens ATPase, H+ transporting, lysosomal accessory protein 1 (ATP6AP1), mRNA) (Fragment	Q15904	Enzyme	Atp6ap1
HMDB0002111	Water	H2O	HMDBP09557	CP protein	A5PL27	Enzyme	Cp
HMDB0002111	Water	H2O	HMDBP10020	Carbonic anhydrase 6	P23280	Enzyme	Car6
HMDB0002111	Water	H2O	HMDBP10091	Protein tyrosine phosphatase receptor type D	Q2HXI4	Enzyme	Ptprd
HMDB0002111	Water	H2O	HMDBP10092	Receptor-type tyrosine-protein phosphatase H	Q9HD43	Enzyme	Ptprh
HMDB0002111	Water	H2O	HMDBP10094	PTPRM protein	A7MBN1	Enzyme	Ptprm
HMDB0002111	Water	H2O	HMDBP10095	Receptor-type tyrosine-protein phosphatase-like N	Q16849	Enzyme	Ptprn
HMDB0002111	Water	H2O	HMDBP10105	Carboxylesterase 5A	Q6NT32	Enzyme	Ces5a
HMDB0002111	Water	H2O	HMDBP10108	Peroxiredoxin-4	Q13162	Enzyme	Prdx4
HMDB0002111	Water	H2O	HMDBP10109	Carboxymethylenebutenolidase homolog	Q96DG6	Enzyme	Cmbl
HMDB0002111	Water	H2O	HMDBP10110	Ubiquitin carboxyl-terminal hydrolase 16	Q9Y5T5	Enzyme	Usp16
HMDB0002111	Water	H2O	HMDBP10111	STAM-binding protein	O95630	Enzyme	Stambp
HMDB0002111	Water	H2O	HMDBP10113	Ubiquitin carboxyl-terminal hydrolase 51	Q70EK9	Enzyme	Usp51
HMDB0002111	Water	H2O	HMDBP10114	Ubiquitin carboxyl-terminal hydrolase 33	Q8TEY7	Enzyme	Usp33
HMDB0002111	Water	H2O	HMDBP10115	Ubiquitin carboxyl-terminal hydrolase 22	Q9UPT9	Enzyme	Usp22
HMDB0002111	Water	H2O	HMDBP10116	Ubiquitin carboxyl-terminal hydrolase 47	Q96K76	Enzyme	Usp47
HMDB0002111	Water	H2O	HMDBP10117	Ubiquitin carboxyl-terminal hydrolase 40	Q9NVE5	Enzyme	Usp40
HMDB0002111	Water	H2O	HMDBP10118	Ubiquitin carboxyl-terminal hydrolase 35	Q9P2H5	Enzyme	Usp35
HMDB0002111	Water	H2O	HMDBP10119	Ubiquitin carboxyl-terminal hydrolase 36	Q9P275	Enzyme	Usp36
HMDB0002111	Water	H2O	HMDBP10120	Ubiquitin carboxyl-terminal hydrolase 29	Q9HBJ7	Enzyme	Usp29
HMDB0002111	Water	H2O	HMDBP10121	Ubiquitin carboxyl-terminal hydrolase 46	P62068	Enzyme	Usp46
HMDB0002111	Water	H2O	HMDBP10122	Ubiquitin carboxyl-terminal hydrolase	Q08AK7	Enzyme	Usp4
HMDB0002111	Water	H2O	HMDBP10123	Ubiquitin carboxyl-terminal hydrolase 1	O94782	Enzyme	Usp1
HMDB0002111	Water	H2O	HMDBP10124	Ubiquitin carboxyl-terminal hydrolase 7	Q93009	Enzyme	Usp7
HMDB0002111	Water	H2O	HMDBP10125	Ubiquitin carboxyl-terminal hydrolase 5	P45974	Enzyme	Usp5
HMDB0002111	Water	H2O	HMDBP10126	Probable ubiquitin carboxyl-terminal hydrolase FAF-X	Q93008	Enzyme	Usp9x
HMDB0002111	Water	H2O	HMDBP10127	Probable ubiquitin carboxyl-terminal hydrolase FAF-Y	O00507	Enzyme	Usp9y
HMDB0002111	Water	H2O	HMDBP10129	Ubiquitin carboxyl-terminal hydrolase	Q9H9J4	Enzyme	Usp42
HMDB0002111	Water	H2O	HMDBP10130	Ubiquitin carboxyl-terminal hydrolase 32	Q8NFA0	Enzyme	Usp32
HMDB0002111	Water	H2O	HMDBP10131	Ubiquitin carboxyl-terminal hydrolase 30	Q70CQ3	Enzyme	Usp30
HMDB0002111	Water	H2O	HMDBP10132	Ubiquitin carboxyl-terminal hydrolase 13	Q92995	Enzyme	Usp13
HMDB0002111	Water	H2O	HMDBP10133	Ubiquitin carboxyl-terminal hydrolase	A6NJA2	Enzyme	Usp14
HMDB0002111	Water	H2O	HMDBP10134	Ubiquitin carboxyl-terminal hydrolase 6	P35125	Enzyme	Usp32
HMDB0002111	Water	H2O	HMDBP10135	Ubiquitin carboxyl-terminal hydrolase 10	Q14694	Enzyme	Usp10
HMDB0002111	Water	H2O	HMDBP10136	Ubiquitin carboxyl-terminal hydrolase 8	P40818	Enzyme	Usp8
HMDB0002111	Water	H2O	HMDBP10137	Ubiquitin carboxyl-terminal hydrolase 15	Q9Y4E8	Enzyme	Usp15
HMDB0002111	Water	H2O	HMDBP10138	Ubiquitin carboxyl-terminal hydrolase 3	Q9Y6I4	Enzyme	Usp3
HMDB0002111	Water	H2O	HMDBP10139	Lysozyme-like protein 1	Q6UWQ5	Enzyme	Lyzl1
HMDB0002111	Water	H2O	HMDBP10462	NOS1 mutant	B3VK56	Enzyme	Nos1
HMDB0002111	Water	H2O	HMDBP10465	Putative uncharacterized protein ACP1	B5MCC7	Enzyme	AABR07036974.1
HMDB0002111	Water	H2O	HMDBP10471	Serine/threonine-protein phosphatase	B3KUN1	Enzyme	Ppp2cb
HMDB0002111	Water	H2O	HMDBP10630	[Protein ADP-ribosylarginine] hydrolase	P54922	Enzyme	Adprh
HMDB0002111	Water	H2O	HMDBP10638	Alkaline ceramidase 1	Q8TDN7	Enzyme	Acer1
HMDB0002111	Water	H2O	HMDBP10641	Cancer-related nucleoside-triphosphatase	Q9BSD7	Enzyme	Ntpcr
HMDB0002111	Water	H2O	HMDBP10642	Spliceosome RNA helicase DDX39B	Q13838	Enzyme	Ddx39b
HMDB0002111	Water	H2O	HMDBP10643	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	O60231	Enzyme	Dhx16
HMDB0002111	Water	H2O	HMDBP10677	Neuropathy target esterase	Q8IY17	Enzyme	Pnpla6
HMDB0002111	Water	H2O	HMDBP10683	DNA dC->dU-editing enzyme APOBEC-3H	Q6NTF7	Enzyme	Apobec3
HMDB0002111	Water	H2O	HMDBP10688	Trans-L-3-hydroxyproline dehydratase	Q96EM0	Enzyme	L3hypdh
HMDB0002111	Water	H2O	HMDBP10696	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	Q9H008	Enzyme	Lhpp
HMDB0002111	Water	H2O	HMDBP10782	Aquaporin-1	P29972	Unknown	Aqp1
HMDB0002111	Water	H2O	HMDBP10783	Aquaporin-4	P55087	Unknown	Aqp4
HMDB0002111	Water	H2O	HMDBP10784	Aquaporin-10	Q96PS8	Unknown	Aqp10
HMDB0002111	Water	H2O	HMDBP10785	DNA replication licensing factor MCM6	Q14566	Unknown	Mcm6
HMDB0002111	Water	H2O	HMDBP10786	DNA replication licensing factor MCM7	P33993	Unknown	Mcm7
HMDB0002111	Water	H2O	HMDBP10863	tRNA-specific adenosine deaminase 1	Q9BUB4	Unknown	Adat1
HMDB0002111	Water	H2O	HMDBP10943	Ectonucleotide pyrophosphatase/phosphodiesterase family member 6	Q6UWR7	Enzyme	Enpp6
HMDB0002111	Water	H2O	HMDBP11000	Acyl-coenzyme A thioesterase 1	Q86TX2	Enzyme	Acot2
HMDB0002111	Water	H2O	HMDBP11530	Glycerophosphoinositol inositolphosphodiesterase GDPD2	Q9HCC8	Enzyme	Gdpd2
HMDB0002111	Water	H2O	HMDBP11552	Carbonic anhydrase-related protein	P35219	Enzyme	Car8
HMDB0002111	Water	H2O	HMDBP11553	Ubiquitin carboxyl-terminal hydrolase 11	P51784	Enzyme	Usp11
HMDB0002111	Water	H2O	HMDBP11558	Sphingosine-1-phosphate phosphatase 2	Q8IWX5	Enzyme	Sgpp2
HMDB0002111	Water	H2O	HMDBP11559	Ubiquitin carboxyl-terminal hydrolase 38	Q8NB14	Enzyme	Usp38
HMDB0002111	Water	H2O	HMDBP11565	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Q9NRN7	Enzyme	Aasdhppt
HMDB0002111	Water	H2O	HMDBP11567	Ubiquitin carboxyl-terminal hydrolase 21	Q9UK80	Enzyme	Usp21
HMDB0002111	Water	H2O	HMDBP11570	Ubiquitin carboxyl-terminal hydrolase 37	Q86T82	Enzyme	Usp37
HMDB0002111	Water	H2O	HMDBP11573	Tyrosine-protein phosphatase non-receptor type 23	Q9H3S7	Enzyme	Ptpn23
HMDB0002111	Water	H2O	HMDBP11576	Ubiquitin carboxyl-terminal hydrolase 2	O75604	Enzyme	Usp2
HMDB0002111	Water	H2O	HMDBP11577	Ubiquitin carboxyl-terminal hydrolase 28	Q96RU2	Enzyme	Usp28
HMDB0002111	Water	H2O	HMDBP11585	Glutathione S-transferase theta-2	P0CG29	Enzyme	Gstt2
HMDB0002111	Water	H2O	HMDBP11586	Ubiquitin carboxyl-terminal hydrolase 20	Q9Y2K6	Enzyme	Usp20
HMDB0002111	Water	H2O	HMDBP11588	S-acyl fatty acid synthase thioesterase, medium chain	Q9NV23	Enzyme	Olah
HMDB0002111	Water	H2O	HMDBP11589	Ubiquitin carboxyl-terminal hydrolase 25	Q9UHP3	Enzyme	Usp25
HMDB0002111	Water	H2O	HMDBP11597	Monoacylglycerol lipase ABHD12	Q8N2K0	Unknown	Abhd12
HMDB0002111	Water	H2O	HMDBP11599	Monoacylglycerol lipase ABHD6	Q9BV23	Unknown	Abhd6
HMDB0002111	Water	H2O	HMDBP11600	Mycophenolic acid acyl-glucuronide esterase, mitochondrial	Q9NUJ1	Unknown	Abhd10
HMDB0002111	Water	H2O	HMDBP11601	Acyl-coenzyme A thioesterase THEM5	Q8N1Q8	Unknown	Them5
HMDB0002111	Water	H2O	HMDBP11603	Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase	Q3LIE5	Unknown	Adprm
HMDB0002111	Water	H2O	HMDBP11605	Activation-induced cytidine deaminase	Q9GZX7	Unknown	Aicda
HMDB0002111	Water	H2O	HMDBP11613	Alkylglycerol monooxygenase	Q6ZNB7	Unknown	Agmo
HMDB0002111	Water	H2O	HMDBP11618	Helicase ARIP4	Q9Y4B4	Unknown	Rad54l2
HMDB0002111	Water	H2O	HMDBP11619	Activating signal cointegrator 1 complex subunit 3	Q8N3C0	Unknown	Ascc3
HMDB0002111	Water	H2O	HMDBP11620	Probable cation-transporting ATPase 13A1	Q9HD20	Unknown	Atp13a1
HMDB0002111	Water	H2O	HMDBP11621	Probable cation-transporting ATPase 13A2	Q9NQ11	Unknown	Atp13a2
HMDB0002111	Water	H2O	HMDBP11623	Probable cation-transporting ATPase 13A4	Q4VNC1	Unknown	Atp13a4
HMDB0002111	Water	H2O	HMDBP11624	Probable cation-transporting ATPase 13A5	Q4VNC0	Unknown	Atp13a5
HMDB0002111	Water	H2O	HMDBP11628	Dual specificity protein phosphatase CDC14C	A4D256	Unknown	Cdc14b
HMDB0002111	Water	H2O	HMDBP11635	Chitinase-3-like protein 1	P36222	Unknown	Chi3l1
HMDB0002111	Water	H2O	HMDBP11637	Chromodomain-helicase-DNA-binding protein 1-like	Q86WJ1	Unknown	Chd1l
HMDB0002111	Water	H2O	HMDBP11638	Chromodomain-helicase-DNA-binding protein 1	O14646	Unknown	Chd1
HMDB0002111	Water	H2O	HMDBP11639	Chromodomain-helicase-DNA-binding protein 2	O14647	Unknown	Chd2
HMDB0002111	Water	H2O	HMDBP11640	Chromodomain-helicase-DNA-binding protein 3	Q12873	Unknown	Chd3
HMDB0002111	Water	H2O	HMDBP11641	Chromodomain-helicase-DNA-binding protein 4	Q14839	Unknown	Chd4
HMDB0002111	Water	H2O	HMDBP11642	Chromodomain-helicase-DNA-binding protein 5	Q8TDI0	Unknown	Chd5
HMDB0002111	Water	H2O	HMDBP11643	Chromodomain-helicase-DNA-binding protein 6	Q8TD26	Unknown	Chd6
HMDB0002111	Water	H2O	HMDBP11644	Chromodomain-helicase-DNA-binding protein 7	Q9P2D1	Unknown	Chd7
